treatment_group	indicator_bin_30	asleep	in_bed	treat_s	treat_s_i	efficiency_per_hour
0.0	0.0	0.02271569	0.04628079	0.0	0.0	0.4908233
0.0	30.0	0.045310035	0.09618978	0.0	0.0	0.47104833
0.0	60.0	0.10075234	0.19952676	0.0	0.0	0.50495654
0.0	90.0	0.2079966	0.3567528	0.0	0.0	0.58302724
0.0	120.0	0.33487442	0.547203	0.0	0.0	0.6119748
0.0	150.0	0.4785463	0.7141609	0.0	0.0	0.67008185
0.0	180.0	0.58865017	0.8495471	0.0	0.0	0.6928988
0.0	210.0	0.6497843	0.91178733	0.0	0.0	0.712649
0.0	240.0	0.684097	0.9422875	0.0	0.0	0.725996
0.0	270.0	0.69726014	0.96119857	0.0	0.0	0.72540694
0.0	300.0	0.701539	0.97060746	0.0	0.0	0.72278345
0.0	330.0	0.70671564	0.97728807	0.0	0.0	0.7231395
0.0	360.0	0.70974284	0.97965133	0.0	0.0	0.72448516
0.0	390.0	0.70584327	0.9794495	0.0	0.0	0.72065306
0.0	420.0	0.70457196	0.976557	0.0	0.0	0.72148573
0.0	450.0	0.69528806	0.96930254	0.0	0.0	0.71730757
0.0	480.0	0.672265	0.94790065	0.0	0.0	0.7092146
0.0	510.0	0.6184522	0.8853794	0.0	0.0	0.6985166
0.0	540.0	0.5345817	0.7691751	0.0	0.0	0.69500655
0.0	570.0	0.42310116	0.6128223	0.0	0.0	0.69041413
0.0	600.0	0.2878544	0.433065	0.0	0.0	0.664691
0.0	630.0	0.17073853	0.26728502	0.0	0.0	0.6387883
0.0	660.0	0.092369616	0.15015751	0.0	0.0	0.61515146
0.0	690.0	0.045047253	0.078380585	0.0	0.0	0.5747246
0.0	720.0	0.027301366	0.052502625	0.0	0.0	0.52000004
0.0		0.0	0.0	0.0	0.0	
1.0	0.0	0.026576577	0.0564037	1.0	0.0	0.471185
1.0	30.0	0.06300689	0.12668355	1.0	0.0	0.49735656
1.0	60.0	0.14090854	0.2627938	1.0	0.0	0.53619426
1.0	90.0	0.25646085	0.43623188	1.0	0.0	0.5879003
1.0	120.0	0.39992693	0.6276337	1.0	0.0	0.637198
1.0	150.0	0.52702475	0.7728291	1.0	0.0	0.68194216
1.0	180.0	0.6229276	0.88335085	1.0	0.0	0.7051871
1.0	210.0	0.6728527	0.9306087	1.0	0.0	0.7230243
1.0	240.0	0.69190645	0.9519883	1.0	0.0	0.72680146
1.0	270.0	0.69679534	0.9654737	1.0	0.0	0.7217134
1.0	300.0	0.7013918	0.9711813	1.0	0.0	0.72220486
1.0	330.0	0.6958479	0.974538	1.0	0.0	0.7140285
1.0	360.0	0.7011345	0.97739184	1.0	0.0	0.7173525
1.0	390.0	0.70212865	0.9777427	1.0	0.0	0.7181119
1.0	420.0	0.6985731	0.97562575	1.0	0.0	0.7160257
1.0	450.0	0.7016017	0.9704351	1.0	0.0	0.72297645
1.0	480.0	0.6867907	0.9556336	1.0	0.0	0.7186758
1.0	510.0	0.65378493	0.92263955	1.0	0.0	0.7086028
1.0	540.0	0.58105767	0.8425412	1.0	0.0	0.6896489
1.0	570.0	0.4867439	0.7133146	1.0	0.0	0.6823692
1.0	600.0	0.37127647	0.55227566	1.0	0.0	0.6722666
1.0	630.0	0.24966656	0.3844624	1.0	0.0	0.64939135
1.0	660.0	0.13691354	0.22786942	1.0	0.0	0.60084206
1.0	690.0	0.066760264	0.11790102	1.0	0.0	0.5662399
1.0	720.0	0.037908036	0.06984907	1.0	0.0	0.5427136
1.0		0.0	0.0	1.0	0.0	
