pid,day_in_study,post_treatment,female,post_lunch_activity,treat_pool,finished_study,treat_nap,max_pay_pvt,pv_average_inverse_rt,pv_falsestarts,pv_minorlapses,extra_work,pay_pvt_check,calc_pay,high_pay,pv_perf,age,pv_perf_post_std,pv_average_inverse_rt_post_std,pv_minorlapses_post_std,pv_falsestarts_post_std,composite_pvt,pv_perf_pre_std,pv_average_inverse_rt_pre_std,pv_minorlapses_pre_std,pv_falsestarts_pre_std,composite_pvt_baseline
5001.0,1,0.0,Male,,0.0,1.0,1.0,,,,,0.0,,,,,4,,,,,,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,2,0.0,Male,break,0.0,1.0,1.0,40.0,3.1733868,8.0,6.0,0.0,26.085535,26.0,1.0,13.0,4,-0.0008164741,1.3900664,-0.39887884,-1.1614486,-0.056753684,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,3,0.0,Male,break,0.0,1.0,1.0,20.0,2.823736,18.0,10.0,0.0,10.620739,11.0,0.0,11.0,4,-1.2767258,0.16949955,-1.2156266,-2.9952323,-1.3471198,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,4,0.0,Male,break,0.0,1.0,1.0,40.0,3.021301,15.0,6.0,0.0,24.22125,24.0,1.0,12.0,4,-0.6387711,0.85916287,-0.39887884,-2.4450972,-0.6616044,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,5,0.0,Male,break,0.0,1.0,1.0,40.0,3.0729258,18.0,7.0,0.0,23.590887,24.0,1.0,12.0,4,-0.6387711,1.0393754,-0.6030658,-2.9952323,-0.85297424,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,6,0.0,Male,break,0.0,1.0,1.0,40.0,3.4574187,11.0,2.0,0.0,28.499855,28.0,1.0,14.0,4,0.6371382,2.3815694,0.4178689,-1.7115837,0.36261818,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,7,0.0,Male,break,0.0,1.0,1.0,,,,,0.0,,,,,4,,,,,,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,8,0.0,Male,break,0.0,1.0,1.0,40.0,3.4061356,4.0,3.0,0.0,29.008118,29.0,1.0,14.5,4,0.9561155,2.2025495,0.21368197,-0.42793506,0.66276544,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,9,1.0,Male,nap,1.0,1.0,1.0,20.0,3.3839476,4.0,4.0,0.0,14.257432,14.0,0.0,14.0,4,0.6371382,2.1250954,0.009495026,-0.42793506,0.5688851,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,10,1.0,Male,nap,1.0,1.0,1.0,20.0,2.7719538,6.0,5.0,0.0,12.443639,12.0,0.0,12.0,4,-0.6387711,-0.011262351,-0.19469191,-0.7946918,-0.3335487,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,11,1.0,Male,nap,1.0,1.0,1.0,40.0,3.253626,14.0,4.0,0.0,26.265621,26.0,1.0,13.0,4,-0.0008164741,1.670167,0.009495026,-2.2617188,-0.19401892,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,12,1.0,Male,nap,1.0,1.0,1.0,20.0,2.9904041,10.0,6.0,0.0,12.444227,12.0,0.0,12.0,4,-0.6387711,0.7513075,-0.39887884,-1.5282053,-0.39192554,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,13,1.0,Male,nap,1.0,1.0,1.0,20.0,3.1325464,41.0,7.0,0.0,10.064433,10.0,0.0,10.0,4,-1.9146805,1.2475001,-0.6030658,-7.212935,-2.1895003,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,14,1.0,Male,nap,1.0,1.0,1.0,40.0,3.2975876,38.0,3.0,0.0,22.953764,23.0,1.0,11.5,4,-0.9577485,1.8236285,0.21368197,-6.6628,-1.5418298,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,15,1.0,Male,nap,1.0,1.0,1.0,20.0,3.0042784,18.0,2.0,0.0,12.600989,13.0,0.0,13.0,4,-0.0008164741,0.7997401,0.4178689,-2.9952323,-0.5925411,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,16,1.0,Male,nap,1.0,1.0,1.0,20.0,3.48981,54.0,4.0,0.0,10.437824,10.0,0.0,10.0,4,-1.9146805,2.4946415,0.009495026,-9.596854,-2.3642392,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,17,1.0,Male,nap,1.0,1.0,1.0,40.0,3.407995,28.0,2.0,0.0,25.495775,25.0,1.0,12.5,4,-0.3197938,2.2090404,0.4178689,-4.829016,-0.7340356,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,18,1.0,Male,nap,1.0,1.0,1.0,40.0,3.0259838,18.0,5.0,0.0,24.142548,24.0,1.0,12.0,4,-0.6387711,0.8755096,-0.19469191,-2.9952323,-0.77147156,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,19,1.0,Male,nap,1.0,1.0,1.0,20.0,3.0077434,48.0,2.0,0.0,10.166243,10.0,0.0,10.0,4,-1.9146805,0.8118355,0.4178689,-8.496584,-2.4222932,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,20,1.0,Male,nap,1.0,1.0,1.0,20.0,3.3982005,27.0,4.0,0.0,12.418404,12.0,0.0,12.0,4,-0.6387711,2.1748495,0.009495026,-4.645638,-0.8204312,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,21,1.0,Male,nap,1.0,1.0,1.0,20.0,3.0589566,13.0,6.0,0.0,12.363149,12.0,0.0,12.0,4,-0.6387711,0.9906116,-0.39887884,-2.0783405,-0.4955359,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,22,1.0,Male,nap,1.0,1.0,1.0,40.0,3.1571364,30.0,0.0,0.0,24.750671,25.0,1.0,12.5,4,-0.3197938,1.3333393,0.8262428,-5.195773,-1.0120636,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,23,1.0,Male,nap,1.0,1.0,1.0,40.0,2.9385908,15.0,2.0,0.0,25.37778,25.0,1.0,12.5,4,-0.3197938,0.57043654,0.4178689,-2.4450972,-0.48559725,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,24,1.0,Male,nap,1.0,1.0,1.0,40.0,3.332866,77.0,3.0,0.0,16.769964,17.0,1.0,8.5,4,-2.8716123,1.9467787,0.21368197,-13.814557,-3.8846989,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,25,1.0,Male,nap,1.0,1.0,1.0,40.0,2.867372,24.0,5.0,0.0,22.410055,22.0,1.0,11.0,4,-1.2767258,0.3218251,-0.19469191,-4.095503,-1.3227899,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,26,1.0,Male,nap,1.0,1.0,1.0,20.0,2.764788,19.0,5.0,0.0,11.367946,11.0,0.0,11.0,4,-1.2767258,-0.03627722,-0.19469191,-3.1786108,-1.1365266,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,27,1.0,Male,nap,1.0,1.0,1.0,40.0,3.0526352,17.0,1.0,0.0,25.982714,26.0,1.0,13.0,4,-0.0008164741,0.96854466,0.6220558,-2.811854,-0.40708447,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5001.0,28,1.0,Male,nap,1.0,1.0,1.0,,,,,0.0,,,,,4,,,,,,0.014359294,1.6926541,-0.17647834,-3.3032846,-0.59570295
5003.0,1,0.0,Female,,0.0,1.0,1.0,,,,,0.0,,,,,1,,,,,,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,2,0.0,Female,break,0.0,1.0,1.0,40.0,2.463462,1.0,15.0,0.0,20.356634,20.0,1.0,10.0,1,-1.9146805,-1.0881501,-2.2365613,0.12220009,-1.0675038,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,3,0.0,Female,break,0.0,1.0,1.0,40.0,2.4970126,1.0,15.0,0.0,20.516397,21.0,1.0,10.5,1,-1.5957031,-0.9710315,-2.2365613,0.12220009,-1.0284642,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,4,0.0,Female,break,0.0,1.0,1.0,20.0,2.8216734,1.0,4.0,0.0,13.162984,13.0,0.0,13.0,1,-0.0008164741,0.16229953,0.009495026,0.12220009,0.09799822,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,5,0.0,Female,break,0.0,1.0,1.0,20.0,2.655379,3.0,8.0,0.0,11.828984,12.0,0.0,12.0,1,-0.6387711,-0.4182034,-0.80725276,-0.24455667,-0.49000427,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,6,0.0,Female,break,0.0,1.0,1.0,20.0,2.5256133,2.0,7.0,0.0,11.79525,12.0,0.0,12.0,1,-0.6387711,-0.87119174,-0.6030658,-0.061178293,-0.5118119,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,7,0.0,Female,break,0.0,1.0,1.0,20.0,2.7711906,0.0,6.0,0.0,12.736623,13.0,0.0,13.0,1,-0.0008164741,-0.013926464,-0.39887884,0.30557847,-0.03574228,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,8,0.0,Female,break,0.0,1.0,1.0,20.0,2.939725,0.0,5.0,0.0,13.331694,13.0,0.0,13.0,1,-0.0008164741,0.5743957,-0.19469191,0.30557847,0.22842743,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,9,1.0,Female,nap,1.0,1.0,1.0,40.0,2.5834837,1.0,10.0,0.0,22.86615,23.0,1.0,11.5,1,-0.9577485,-0.6691769,-1.2156266,0.12220009,-0.5875345,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,10,1.0,Female,nap,1.0,1.0,1.0,40.0,2.6863632,3.0,6.0,0.0,24.580708,25.0,1.0,12.5,1,-0.3197938,-0.3100434,-0.39887884,-0.24455667,-0.3178263,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,11,1.0,Female,nap,1.0,1.0,1.0,40.0,2.6421869,1.0,11.0,0.0,22.758091,23.0,1.0,11.5,1,-0.9577485,-0.46425486,-1.4198135,0.12220009,-0.58728945,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,12,1.0,Female,nap,1.0,1.0,1.0,,,,,0.0,,,,,1,,,,,,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,13,1.0,Female,nap,1.0,1.0,1.0,40.0,3.0503707,1.0,4.0,0.0,27.415003,27.0,1.0,13.5,1,0.31816086,0.9606397,0.009495026,0.12220009,0.3641116,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,14,1.0,Female,nap,1.0,1.0,1.0,40.0,2.7711093,2.0,4.0,0.0,25.92232,26.0,1.0,13.0,1,-0.0008164741,-0.01421027,0.009495026,-0.061178293,-0.021964513,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,15,1.0,Female,nap,1.0,1.0,1.0,20.0,2.827645,2.0,10.0,0.0,11.932978,12.0,0.0,12.0,1,-0.6387711,0.18314552,-1.2156266,-0.061178293,-0.36455312,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,16,1.0,Female,nap,1.0,1.0,1.0,40.0,3.395972,0.0,0.0,0.0,30.773977,31.0,1.0,15.5,1,1.5940702,2.1670704,0.8262428,0.30557847,1.0996306,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,17,1.0,Female,nap,1.0,1.0,1.0,20.0,3.0681176,1.0,2.0,0.0,14.137353,14.0,0.0,14.0,1,0.6371382,1.022591,0.4178689,0.12220009,0.52088666,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,18,1.0,Female,nap,1.0,1.0,1.0,40.0,2.8748422,0.0,3.0,0.0,27.129616,27.0,1.0,13.5,1,0.31816086,0.34790194,0.21368197,0.30557847,0.28905413,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,19,1.0,Female,nap,1.0,1.0,1.0,40.0,3.141808,1.0,2.0,0.0,28.625612,29.0,1.0,14.5,1,0.9561155,1.2798307,0.4178689,0.12220009,0.60663325,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,20,1.0,Female,nap,1.0,1.0,1.0,20.0,2.604948,1.0,10.0,0.0,11.48418,11.0,0.0,11.0,1,-1.2767258,-0.5942488,-1.2156266,0.12220009,-0.5625584,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,21,1.0,Female,nap,1.0,1.0,1.0,40.0,2.832621,0.0,3.0,0.0,26.928562,27.0,1.0,13.5,1,0.31816086,0.20051596,0.21368197,0.30557847,0.23992546,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,22,1.0,Female,nap,1.0,1.0,1.0,40.0,2.8351605,0.0,4.0,0.0,26.553059,27.0,1.0,13.5,1,0.31816086,0.20938051,0.009495026,0.30557847,0.174818,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,23,1.0,Female,nap,1.0,1.0,1.0,40.0,2.941556,1.0,2.0,0.0,27.672031,28.0,1.0,14.0,1,0.6371382,0.58078754,0.4178689,0.12220009,0.37361884,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,24,1.0,Female,nap,1.0,1.0,1.0,20.0,2.528468,1.0,12.0,0.0,10.914488,11.0,0.0,11.0,1,-1.2767258,-0.8612269,-1.6240005,0.12220009,-0.7876758,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,25,1.0,Female,nap,1.0,1.0,1.0,40.0,2.7987196,2.0,3.0,0.0,26.441395,26.0,1.0,13.0,1,-0.0008164741,0.082172215,0.21368197,-0.061178293,0.0782253,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,26,1.0,Female,nap,1.0,1.0,1.0,40.0,2.9521008,2.0,1.0,0.0,27.946974,28.0,1.0,14.0,1,0.6371382,0.61759746,0.6220558,-0.061178293,0.392825,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,27,1.0,Female,nap,1.0,1.0,1.0,20.0,3.1511824,0.0,1.0,0.0,14.610357,15.0,0.0,15.0,1,1.2750928,1.3125548,0.6220558,0.30557847,0.74672973,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5003.0,28,1.0,Female,,1.0,1.0,1.0,,,,,0.0,,,,,1,,,,,,-0.5704204,-0.39370206,-0.8148866,0.43160293,-0.25899526
5004.0,1,0.0,Male,,0.0,1.0,0.0,,,,,0.0,,,,,3,,,,,,0.48896348,-0.2432844,0.8857912,0.7574123,0.4666397
5004.0,2,0.0,Male,break,0.0,1.0,0.0,40.0,2.7025821,0.0,0.0,0.0,27.47212,27.0,1.0,13.5,3,0.31816086,-0.2534262,0.8262428,0.30557847,0.29279837,0.48896348,-0.2432844,0.8857912,0.7574123,0.4666397
